RTT	Window	ACK
6964	114.599333544	529
7084	113.224087147	530
7096	113.594851062	531
7181	112.803084013	532
7249	112.289884624	533
7247	112.86334054	533
7315	112.349007375	534
7361	112.175889703	535
7344	112.963248673	536
7384	112.873695709	537
7428	112.721969363	538
7460	112.750750959	538
7447	113.45844644	539
7479	113.479391471	540
7847	108.638051019	541
7918	108.137980277	542
7943	108.268137091	542
8029	107.571908887	543
8075	107.417940393	544
8144	106.96083685	545
8163	107.161903431	545
8212	106.967943618	546
8253	106.87794186	547
8255	107.291521534	548
8293	54.2712826956	549
8232	55.2613211112	549
8175	56.225806619	550
8209	56.5574936977	551
8147	57.5449600902	552
8095	58.4638393761	552
8123	58.798723527	553
8062	59.7734952013	554
8008	60.6997517618	555
8048	60.908809307	556
7990	61.8558432063	556
7934	62.791597838	557
7969	63.0038470283	558
7907	63.9810194896	559
7851	64.9154985906	559
7880	65.1447672326	560
7821	66.0999240822	561
7763	67.0531658581	562
7797	67.2106270323	563
7735	68.1954555208	564
7679	69.1349340252	564
7677	69.5882214103	565
7665	70.1263165143	566
7599	71.1615906912	567
7593	71.6378632682	568
7577	72.2037279249	569
7513	73.2307001116	569
7537	73.4020596751	570
7514	74.0266217747	571
7447	75.090305879	572
7426	75.6957738129	572
7401	76.3403589375	573
7344	77.3193142532	574
7286	78.3189564161	575
7201	79.626793029	576
7188	80.1496651301	577
7138	81.0874953841	577
7131	81.5388599011	578
7123	81.9977247974	579
7038	83.3549108922	579
7049	83.5864038205	580
7051	83.9195298388	581
6991	84.9950922908	581
7008	85.1389109487	582
7073	84.698946382	582
7206	83.4676378847	583
7179	84.1106768989	584
7154	84.7308485235	585
7182	84.7215529147	586
7213	84.6732582713	587
7194	85.2097698965	587
7158	85.9490546052	588
7185	85.9320059709	589
7158	86.5596488287	590
7193	86.4369971553	590
7232	86.2643790669	591
7218	86.7224194692	592
7199	87.2394862803	593
7298	86.3371238143	594
7296	86.6387941183	594
7285	87.0449419344	595
7282	87.3532000187	596
7329	87.0606939249	597
7377	86.757251454	597
7367	87.1355531112	598
7369	87.3695625592	599
7416	87.0691273652	600
7423	87.2373678595	600
7448	87.1914115352	601
7602	85.6644201956	602
7631	85.574781912	603
7644	85.6623040848	603
7391	88.8331340797	604
7428	88.6255486134	605
7482	88.2167306353	606
7496	88.2800134427	606
7486	88.6239716032	607
7532	88.3051054514	608
7530	88.5487711788	609
7544	88.6020521559	610
7650	87.5868240522	611
7644	87.8660983	611
7642	88.0976015736	612
7646	88.2578710275	613
7697	87.8760702618	614
7700	88.0427772249	615
7702	88.218866956	615
7706	88.3700117036	615
7653	89.1784113793	615
7588	90.1385256031	615
7508	91.2953860786	615
7448	92.2269677715	615
7396	93.0710403814	615
7343	93.9380119133	615
7341	94.1570439177	615
7286	95.0608986805	615
7210	96.2562472227	615
7111	97.7905408353	615
7054	98.7747174758	615
6996	99.787403071	615
6888	101.547059085	615
6923	101.225975722	616
6875	102.124609356	617
6888	102.121671722	618
6902	102.102251121	618
6903	102.273478863	619
6908	102.383683009	620
6914	102.477271162	620
6960	101.979608689	621
7020	101.284514361	622
7026	101.372848133	623
7027	101.531696277	623
7024	101.74689885	624
7023	101.931756014	625
7069	101.436252733	626
7058	101.760950061	626
7041	102.172218296	627
7083	101.729549712	628
7082	101.905724071	628
7133	101.336396519	629
7105	101.894306793	630
